laus_code,state_fips_code,county_fips_code,name,year,labor_force,employed,unemployed,unemployment_rate
CN0100100000000,01,001,"Autauga County, AL",2009,24703,22301,2402,9.700000
CN0100300000000,01,003,"Baldwin County, AL",2009,82451,74403,8048,9.800000
CN0100500000000,01,005,"Barbour County, AL",2009,10003,8572,1431,14.300000
CN0100700000000,01,007,"Bibb County, AL",2009,8742,7581,1161,13.300000
CN0100900000000,01,009,"Blount County, AL",2009,26480,23832,2648,10.000000
CN0101100000000,01,011,"Bullock County, AL",2009,3739,3156,583,15.600000
CN0101300000000,01,013,"Butler County, AL",2009,9104,7615,1489,16.400000
CN0101500000000,01,015,"Calhoun County, AL",2009,53925,47929,5996,11.100000
CN0101700000000,01,017,"Chambers County, AL",2009,14650,11777,2873,19.600000
CN0101900000000,01,019,"Cherokee County, AL",2009,11758,10384,1374,11.700000
CN0102100000000,01,021,"Chilton County, AL",2009,19445,17375,2070,10.600000
CN0102300000000,01,023,"Choctaw County, AL",2009,5134,4442,692,13.500000
CN0102500000000,01,025,"Clarke County, AL",2009,10381,8664,1717,16.500000
CN0102700000000,01,027,"Clay County, AL",2009,5643,4703,940,16.700000
CN0102900000000,01,029,"Cleburne County, AL",2009,6514,5851,663,10.200000
CN0103100000000,01,031,"Coffee County, AL",2009,21436,19612,1824,8.500000
CN0103300000000,01,033,"Colbert County, AL",2009,25414,22461,2953,11.600000
CN0103500000000,01,035,"Conecuh County, AL",2009,4908,3930,978,19.900000
CN0103700000000,01,037,"Coosa County, AL",2009,4593,3856,737,16.000000
CN0103900000000,01,039,"Covington County, AL",2009,16719,14912,1807,10.800000
CN0104100000000,01,041,"Crenshaw County, AL",2009,6439,5768,671,10.400000
CN0104300000000,01,043,"Cullman County, AL",2009,38537,34585,3952,10.300000
CN0104500000000,01,045,"Dale County, AL",2009,20033,18100,1933,9.600000
CN0104700000000,01,047,"Dallas County, AL",2009,15868,12516,3352,21.100000
CN0104900000000,01,049,"DeKalb County, AL",2009,29912,25647,4265,14.300000
CN0105100000000,01,051,"Elmore County, AL",2009,36392,32944,3448,9.500000
CN0105300000000,01,053,"Escambia County, AL",2009,14762,12770,1992,13.500000
CN0105500000000,01,055,"Etowah County, AL",2009,44993,39838,5155,11.500000
CN0105700000000,01,057,"Fayette County, AL",2009,6971,5993,978,14.000000
CN0105900000000,01,059,"Franklin County, AL",2009,13240,11463,1777,13.400000
